ordinary share yield	timed percentage	rel:yieldValue	1
ordinary share yield	timed percentage	rel:yieldValue	1
ordinary share yield	yield calculation method	rel:yieldType	1
ordinary share yield	yield calculation method	rel:yieldType	1
yield	timed percentage	rel:yieldHasValue	1
yield	timed percentage	rel:yieldHasValue	1
organization	memorandum	rel:writes	1
organization	memorandum	rel:writes	1
legally capable person	independent party	rel:worksFor	1
legally capable person	independent party	rel:worksFor	1
stock corporation	stock corporation	rel:whollyOwnedBy	1
stock corporation	stock corporation	rel:whollyOwnedBy	1
credit index constituent	percentage value	rel:weight	1
credit index constituent	percentage value	rel:weight	1
investment credit rating	credit watch outlook	rel:watchOutlook	1
investment credit rating	credit watch outlook	rel:watchOutlook	1
investment credit rating	credit watch direction	rel:watchDirection	1
investment credit rating	credit watch direction	rel:watchDirection	1
mortgage instrument weighted average remaining maturity	timed duration specification	rel:wARMValue	1
mortgage instrument weighted average remaining maturity	timed duration specification	rel:wARMValue	1
instrument weighted average loan age	timed duration specification	rel:wALAValue	1
instrument weighted average loan age	timed duration specification	rel:wALAValue	1
weighted average coupon	timed percentage	rel:wACHasValue	1
weighted average coupon	timed percentage	rel:wACHasValue	1
vwop	timed monetary amount	rel:vWOPValue	1
vwop	timed monetary amount	rel:vWOPValue	1
vwap	timed monetary amount	rel:vWAPValue	1
vwap	timed monetary amount	rel:vWAPValue	1
vostro account	account provider	rel:vostroAccountHasPerspective	1
vostro account	account provider	rel:vostroAccountHasPerspective	1
identity document	physical address	rel:verifiesAddress	1
identity document	physical address	rel:verifiesAddress	1
identity document	physical address	rel:verifiesAddress	1
supply transaction	vendor	rel:vendor	1
supply transaction	vendor	rel:vendor	1
contract	contractually conferred commitment	rel:varies	1
conditions precedent	contractual obligation	rel:varies	1
contract	contractually conferred commitment	rel:varies	1
conditions precedent	contractual obligation	rel:varies	1
dated past value	date	rel:valueTime	1
past value	date time	rel:valueTime	1
dated past value	date	rel:valueTime	1
past value	date time	rel:valueTime	1
fund investment restrictions set	percentage value	rel:valueAtRisk	1
fund investment restrictions set	percentage value	rel:valueAtRisk	1
timed percentage	percentage value	rel:value.3	1
timed percentage	percentage value	rel:value.3	1
pvbp	timed percentage	rel:value.2	1
pvbp	timed percentage	rel:value.2	1
price volatility specification	timed percentage	rel:value.1	1
price volatility specification	timed percentage	rel:value.1	1
debt convexity analytic	timed numeric amount	rel:value	1
property valuation historical information	monetary amount	rel:value	1
price spread specification	timed percentage	rel:value	1
dated balance	dated monetary amount	rel:value	1
debt convexity analytic	timed numeric amount	rel:value	1
property valuation historical information	monetary amount	rel:value	1
price spread specification	timed percentage	rel:value	1
dated balance	dated monetary amount	rel:value	1
cds cash settlement	time of day	rel:valuationTime	1
cds cash settlement	time of day	rel:valuationTime	1
cds cash settlement	cds cash settlement valuation method	rel:valuationMethod	1
cds cash settlement	cds cash settlement valuation method	rel:valuationMethod	1
net asset value calculation method	frequency	rel:valuationFrequency	1
net asset value calculation method	frequency	rel:valuationFrequency	1
last price	date time	rel:valuationDateAndTime	1
bond exchange last price	date time	rel:valuationDateAndTime	1
last price	date time	rel:valuationDateAndTime	1
bond exchange last price	date time	rel:valuationDateAndTime	1
property valuation historical information	date	rel:valuationDate	1
cds cash settlement	date	rel:valuationDate	1
property valuation historical information	date	rel:valuationDate	1
cds cash settlement	date	rel:valuationDate	1
potential agency mbs issuer	validate conformance	rel:validates	1
potential agency mbs issuer	validate conformance	rel:validates	1
simple yield calculation method	dirty price	rel:usesPrice	1
simple yield calculation method	dirty price	rel:usesPrice	1
russian yield calculation method	russian yield formula	rel:usesFormula	1
us treasury yield calculation method	icma yield formula	rel:usesFormula	1
wall street yield calculation method	icma yield formula	rel:usesFormula	1
yield calculation method	yield calculation formula	rel:usesFormula	1
us corporate bond yield calculation method	icma yield formula	rel:usesFormula	1
russian yield calculation method	russian yield formula	rel:usesFormula	1
us treasury yield calculation method	icma yield formula	rel:usesFormula	1
wall street yield calculation method	icma yield formula	rel:usesFormula	1
yield calculation method	yield calculation formula	rel:usesFormula	1
us corporate bond yield calculation method	icma yield formula	rel:usesFormula	1
credit risk assessment	combined ltv ratio percent	rel:usesFactor	1
credit risk assessment	borrower monthly income	rel:usesFactor	1
credit risk assessment	total debt expense ratio	rel:usesFactor	1
credit risk assessment	all borrowers monthly income	rel:usesFactor	1
credit risk assessment	combined ltv ratio percent	rel:usesFactor	1
credit risk assessment	borrower monthly income	rel:usesFactor	1
credit risk assessment	total debt expense ratio	rel:usesFactor	1
credit risk assessment	all borrowers monthly income	rel:usesFactor	1
price model specification	pricing model	rel:uses	1
price model specification	pricing model	rel:uses	1
debt published point in time price	locally derived price	rel:usedToDetermine	1
debt published point in time price	locally derived price	rel:usedToDetermine	1
credit index	monetary amount	rel:upFrontFee	1
credit index	monetary amount	rel:upFrontFee	1
debt offer issue	debt issue underwriter	rel:underwrittenBy	1
securities underwriting issuance process	potential muni underwriter	rel:underwrittenBy	1
offer issue	security underwriter	rel:underwrittenBy	1
debt offer issue	debt issue underwriter	rel:underwrittenBy	1
securities underwriting issuance process	potential muni underwriter	rel:underwrittenBy	1
offer issue	security underwriter	rel:underwrittenBy	1
underwriter	securities offering	rel:underwrites	1
potential muni underwriter	securities underwriting issuance process	rel:underwrites	1
underwriter	securities offering	rel:underwrites	1
underwriter	securities offering	rel:underwrites	1
potential muni underwriter	securities underwriting issuance process	rel:underwrites	1
underwriter takedown for debt	monetary amount	rel:underwriterTakedownAmount	1
underwriter takedown for debt	monetary amount	rel:underwriterTakedownAmount	1
contingent obligation	obligor	rel:undertakenBy	1
equity valuation	equity valuation calculation agent	rel:undertakenBy	1
undertaking	undertaking party	rel:undertakenBy	1
underlying valuation	calculation agent	rel:undertakenBy	1
contingent obligation	obligor	rel:undertakenBy	1
equity valuation	equity valuation calculation agent	rel:undertakenBy	1
undertaking	undertaking party	rel:undertakenBy	1
underlying valuation	calculation agent	rel:undertakenBy	1
inflation factor expression	inflation factor underlying	rel:underlyingParameter	1
inflation factor expression	inflation factor underlying	rel:underlyingParameter	1
bond option underlying transaction	percentage value	rel:underlyingBondPrice	1
bond option underlying transaction	percentage value	rel:underlyingBondPrice	1
foreign currency option	fx option underlying	rel:underlying.2	1
foreign currency option	fx option underlying	rel:underlying.2	1
bond option	bond option underlying	rel:underlying.1	1
option contract on futures	option on futures underlying	rel:underlying.1	1
interest rate option	ir option underlying	rel:underlying.1	1
commodities option	commodities option underlying	rel:underlying.1	1
bond option	bond option underlying	rel:underlying.1	1
option contract on futures	option on futures underlying	rel:underlying.1	1
interest rate option	ir option underlying	rel:underlying.1	1
commodities option	commodities option underlying	rel:underlying.1	1
equity index option otc contract	equity index observable	rel:underlying	1
equity basket option otc contract	equity basket observable	rel:underlying	1
exchange traded equity index option	equity index option underlying	rel:underlying	1
equity option otc contract	equity observable	rel:underlying	1
share option otc contract	single share observable	rel:underlying	1
equity index option otc contract	equity index observable	rel:underlying	1
equity basket option otc contract	equity basket observable	rel:underlying	1
exchange traded equity index option	equity index option underlying	rel:underlying	1
equity option otc contract	equity observable	rel:underlying	1
share option otc contract	single share observable	rel:underlying	1
ultimate beneficial owner	person	rel:UltimateBeneficialOwnerWillBe	1
ultimate beneficial owner	person	rel:UltimateBeneficialOwnerWillBe	1
